Gm#,Date,Opp,W/L,W-L,Rank,GB,D/N,Attendance,cLI,Streak,H Game #,Pitcher,Day,Year,Win Avg,,
94,"Tuesday, Jul 10",OAK,W,62-32,1,up 4.0,N,34585,1.19,+,48,McHugh,T,2018,0.659574468,,
95,"Wednesday, Jul 11",OAK,L,62-33,1,up 3.0,N,41119,1.07,-,49,McCullers,W,2018,0.652631579,,
96,"Thursday, Jul 12",OAK,L,62-34,1,up 3.0,D,38900,1.22,--,50,Devenski,TH,2018,0.645833333,,
97,"Friday, Jul 13",DET,W,63-34,1,up 4.0,N,38843,1.1,+,51,Keuchel,F,2018,0.649484536,,
98,"Saturday, Jul 14",DET,W,64-34,1,up 5.0,D,40405,0.97,++,52,Cole,SA,2018,0.653061224,,
99,"Sunday, Jul 15",DET,L,64-35,1,up 5.0,D,39455,0.92,-,53,Verlander,S,2018,0.646464646,,
105,"Friday, Jul 27",TEX,L,67-38,1,up 5.0,N,42592,1.06,--,54,Keuchel,F,2018,0.638095238,,
106,"Saturday, Jul 28",TEX,L,67-39,1,up 5.0,N,43093,1.06,---,55,Verlander,SA,2018,0.632075472,,
107,"Sunday, Jul 29",TEX,L,67-40,1,up 4.0,D,40560,1.12,----,56,McCullers,S,2018,0.626168224,,
116,"Thursday, Aug 9",SEA,L,73-43,1,up 4.5,N,34976,1.1,-,57,Verlander,TH,2018,0.629310345,,
117,"Friday, Aug 10",SEA,L,73-44,1,up 4.5,N,41236,1.31,--,58,Cole,F,2018,0.623931624,,
118,"Saturday, Aug 11",SEA,L,73-45,1,up 3.5,N,38888,1.52,---,59,Morton,SA,2018,0.618644068,,
119,"Sunday, Aug 12",SEA,L,73-46,1,up 2.5,D,40048,1.83,----,60,Osuna,S,2018,0.613445378,,
120,"Tuesday, Aug 14",COL,L,73-47,1,up 1.0,N,35813,1.49,-----,61,Verlander,T,2018,0.608333333,,
121,"Wednesday, Aug 15",COL,W,74-47,1,up 2.0,N,29967,1.52,+,62,Cole,W,2018,0.611570248,,
131,"Monday, Aug 27",OAK,W,81-50,1,up 2.5,N,43171,2.41,++++++,63,Cole,M,2018,0.618320611,,
132,"Tuesday, Aug 28",OAK,L,81-51,1,up 1.5,N,33136,2.2,-,64,Osuna,T,2018,0.613636364,,
133,"Wednesday, Aug 29",OAK,W,82-51,1,up 2.5,D,32926,2.59,+,65,Osuna,W,2018,0.616541353,,
134,"Thursday, Aug 30",LAA,L,82-52,1,up 2.5,N,30371,1.24,-,66,Verlander,TH,2018,0.611940299,,
135,"Friday, Aug 31",LAA,L,82-53,1,up 1.5,N,35675,1.3,--,67,Valdez,F,2018,0.607407407,,
136,"Saturday, Sep 1",LAA,W,83-53,1,up 2.5,N,41622,1.57,+,68,Smith,SA,2018,0.610294118,,
137,"Sunday, Sep 2",LAA,W,84-53,1,up 2.5,N,41506,1.35,++,69,Cole,S,2018,0.613138686,,
138,"Monday, Sep 3",MIN,W,85-53,1,up 2.5,D,39559,1.24,+++,70,Keuchel,M,2018,0.615942029,,
139,"Tuesday, Sep 4",MIN,W,86-53,1,up 3.5,N,31315,1.21,++++,71,Verlander,T,2018,0.618705036,,
140,"Wednesday, Sep 5",MIN,W,87-53,1,up 3.5,N,31011,0.94,+++++,72,Valdez,W,2018,0.621428571,,
147,"Friday, Sep 14",ARI,L,92-55,1,up 2.5,N,36924,0.75,-,73,Rondón,F,2018,0.62585034,,
148,"Saturday, Sep 15",ARI,W,93-55,1,up 3.5,N,38345,1.15,+,74,Morton,SA,2018,0.628378378,,
149,"Sunday, Sep 16",ARI,W,94-55,1,up 4.5,D,37889,0.76,++,75,Verlander,S,2018,0.630872483,,
150,"Monday, Sep 17",SEA,L,94-56,1,up 4.0,N,43144,0.41,-,76,Rondón,M,2018,0.626666667,,
151,"Tuesday, Sep 18",SEA,W,95-56,1,up 5.0,N,35715,0.56,+,77,James,T,2018,0.629139073,,
152,"Wednesday, Sep 19",SEA,L,95-57,1,up 4.0,N,31229,0.24,-,78,Keuchel,W,2018,0.625,,
153,"Friday, Sep 21",LAA,W,96-57,1,up 3.5,N,39977,0.63,+,79,Cole,F,2018,0.62745098,,
154,"Saturday, Sep 22",LAA,W,97-57,1,up 3.5,N,41822,0.59,++,80,McHugh,SA,2018,0.62987013,,
155,"Sunday, Sep 23",LAA,W,98-57,1,up 4.5,D,43247,0.54,+++,81,Valdez,S,2018,0.632258065,,
8,"Friday, Apr 5",OAK,W,3-5,4,3.5,N,43165,0.9,+,1,McHugh,F,2019,0.375,,
9,"Saturday, Apr 6",OAK,W,4-5,4,3.5,N,34487,0.97,++,2,Miley,SA,2019,0.444444444,,
10,"Sunday, Apr 7",OAK,W,5-5,2,3.5,D,34902,1.01,+++,3,Osuna,S,2019,0.5,,
11,"Monday, Apr 8",NYY,W,6-5,2,3.5,N,27631,0.97,++++,4,Pressly,M,2019,0.545454545,,
12,"Tuesday, Apr 9",NYY,W,7-5,2,3.5,N,31009,0.97,+++++,5,Rondón,T,2019,0.583333333,,
13,"Wednesday, Apr 10",NYY,W,8-5,2,3.5,N,27685,1.01,++++++,6,McHugh,W,2019,0.615384615,,
22,"Monday, Apr 22",MIN,L,13-9,2,1.5,N,34518,1.17,---,7,Peacock,M,2019,0.590909091,,
23,"Tuesday, Apr 23",MIN,W,14-9,2,0.5,N,29409,1.17,+,8,Rondón,T,2019,0.608695652,,
24,"Wednesday, Apr 24",MIN,W,15-9,1,up 0.5,N,26582,1.2,++,9,Verlander,W,2019,0.625,,
25,"Thursday, Apr 25",CLE,L,15-10,2,0.5,N,24948,1.24,-,10,Cole,TH,2019,0.6,,
26,"Friday, Apr 26",CLE,L,15-11,2,1.5,N,38084,1.23,--,11,Rondón,F,2019,0.576923077,,
27,"Saturday, Apr 27",CLE,W,16-11,2,0.5,D,38667,1.17,+,12,Osuna,SA,2019,0.592592593,,
28,"Sunday, Apr 28",CLE,W,17-11,1,up 0.5,N,31025,1.25,++,13,Valdez,S,2019,0.607142857,,
35,"Monday, May 6",KCR,W,21-14,1,up 3.0,N,27079,1.25,+++,14,Cole,M,2019,0.6,,
36,"Tuesday, May 7",KCR,L,21-15,1,up 3.0,N,30377,1.31,-,15,McHugh,T,2019,0.583333333,,
37,"Wednesday, May 8",KCR,W,22-15,1,up 3.0,N,22698,1.28,+,16,Peacock,W,2019,0.594594595,,
38,"Thursday, May 9",TEX,W,23-15,1,up 4.0,N,26657,1.5,++,17,Miley,TH,2019,0.605263158,,
39,"Friday, May 10",TEX,W,24-15,1,up 5.0,N,33023,1.52,+++,18,Verlander,F,2019,0.615384615,,
40,"Saturday, May 11",TEX,W,25-15,1,up 5.5,N,35849,1.52,++++,19,Cole,SA,2019,0.625,,
41,"Sunday, May 12",TEX,W,26-15,1,up 6.5,D,41027,1.47,+++++,20,Martin,S,2019,0.634146341,,
48,"Monday, May 20",CHW,W,32-16,1,up 8.5,N,24364,1.14,+,21,Peacock,M,2019,0.666666667,,
49,"Tuesday, May 21",CHW,W,33-16,1,up 8.5,N,31392,1.1,++,22,Verlander,T,2019,0.673469388,,
50,"Wednesday, May 22",CHW,L,33-17,1,up 7.5,N,30237,1.05,-,23,Cole,W,2019,0.66,,
51,"Thursday, May 23",CHW,L,33-18,1,up 7.0,N,26073,1.14,--,24,Martin,TH,2019,0.647058824,,
52,"Friday, May 24",BOS,W,34-18,1,up 7.0,N,35606,1.22,+,25,Miley,F,2019,0.653846154,,
53,"Saturday, May 25",BOS,W,35-18,1,up 7.0,N,40722,1.17,++,26,Osuna,SA,2019,0.660377358,,
54,"Sunday, May 26",BOS,L,35-19,1,up 6.0,D,41502,1.11,-,27,Verlander,S,2019,0.648148148,,
55,"Monday, May 27",CHC,W,36-19,1,up 6.0,D,42135,1.13,+,28,Cole,M,2019,0.654545455,,
56,"Tuesday, May 28",CHC,W,37-19,1,up 7.0,N,31030,1.05,++,29,James,T,2019,0.660714286,,
57,"Wednesday, May 29",CHC,L,37-20,1,up 7.0,N,33243,1.03,-,30,Miley,W,2019,0.649122807,,
65,"Friday, Jun 7",BAL,W,44-21,1,up10.0,N,35414,0.77,++,31,Pérez,F,2019,0.676923077,,
66,"Saturday, Jun 8",BAL,L,44-22,1,up 8.5,D,38425,0.7,-,32,Harris,SA,2019,0.666666667,,
67,"Sunday, Jun 9",BAL,W,45-22,1,up 9.5,D,35621,0.79,+,33,Miley,S,2019,0.671641791,,
68,"Tuesday, Jun 11",MIL,W,46-22,1,up 9.0,N,35928,0.72,++,34,Peacock,T,2019,0.676470588,,
69,"Wednesday, Jun 12",MIL,L,46-23,1,up 9.0,N,40032,0.7,-,35,Pérez,W,2019,0.666666667,,
70,"Friday, Jun 14",TOR,W,47-23,1,up 9.5,N,34719,0.75,+,36,Cole,F,2019,0.671428571,,
71,"Saturday, Jun 15",TOR,W,48-23,1,up 9.5,D,38012,0.68,++,37,Valdez,SA,2019,0.676056338,,
72,"Sunday, Jun 16",TOR,L,48-24,1,up 9.5,D,42174,0.66,-,38,Peacock,S,2019,0.666666667,,
80,"Tuesday, Jun 25",PIT,W,50-30,1,up 6.5,N,37193,1.09,++,39,Cole,T,2019,0.625,,
81,"Wednesday, Jun 26",PIT,L,50-31,1,up 5.5,N,39312,1.05,-,40,Valdez,W,2019,0.617283951,,
82,"Thursday, Jun 27",PIT,L,50-32,1,up 4.5,D,38943,1.19,--,41,Peacock,TH,2019,0.609756098,,
83,"Friday, Jun 28",SEA,W,51-32,1,up 4.5,N,32828,1.27,+,42,Harris,F,2019,0.614457831,,
84,"Saturday, Jun 29",SEA,W,52-32,1,up 5.5,N,35082,1.31,++,43,Devenski,SA,2019,0.619047619,,
85,"Sunday, Jun 30",SEA,W,53-32,1,up 6.5,D,32485,1.16,+++,44,Cole,S,2019,0.623529412,,
88,"Friday, Jul 5",LAA,L,55-33,1,up 6.0,N,41219,1.05,-,45,Verlander,F,2019,0.625,,
89,"Saturday, Jul 6",LAA,W,56-33,1,up 7.0,N,39470,1.14,+,46,Cole,SA,2019,0.629213483,,
90,"Sunday, Jul 7",LAA,W,57-33,1,up 7.0,D,37264,1.06,++,47,Pressly,S,2019,0.633333333,,
99,"Friday, Jul 19",TEX,W,62-37,1,up 5.0,N,42287,1.1,+++,48,Verlander,F,2019,0.626262626,,
100,"Saturday, Jul 20",TEX,W,63-37,1,up 5.0,N,41643,1.03,++++,49,Urquidy,SA,2019,0.63,,
101,"Sunday, Jul 21",TEX,W,64-37,1,up 6.0,D,37655,0.95,+++++,50,Armenteros,S,2019,0.633663366,,
102,"Monday, Jul 22",OAK,W,65-37,1,up 7.0,N,41534,1.25,++++++,51,Cole,M,2019,0.637254902,,
103,"Tuesday, Jul 23",OAK,L,65-38,1,up 6.0,N,39204,1.06,-,52,McHugh,T,2019,0.631067961,,
104,"Wednesday, Jul 24",OAK,W,66-38,1,up 7.0,D,41838,1.26,+,53,Verlander,W,2019,0.634615385,,
111,"Friday, Aug 2",SEA,W,71-40,1,up 8.0,N,41444,0.52,++,54,Miley,F,2019,0.63963964,,
112,"Saturday, Aug 3",SEA,W,72-40,1,up 8.0,N,37059,0.48,+++,55,Sanchez,SA,2019,0.642857143,,
113,"Sunday, Aug 4",SEA,W,73-40,1,up 8.0,D,39667,0.42,++++,56,Verlander,S,2019,0.646017699,,
114,"Tuesday, Aug 6",COL,W,74-40,1,up 8.5,N,43243,0.43,+++++,57,Greinke,T,2019,0.649122807,,
115,"Wednesday, Aug 7",COL,W,75-40,1,up 9.5,D,35566,0.42,++++++,58,Cole,W,2019,0.652173913,,
126,"Monday, Aug 19",DET,W,80-46,1,up 7.5,N,40499,0.46,++,59,Miley,M,2019,0.634920635,,
127,"Tuesday, Aug 20",DET,W,81-46,1,up 7.5,N,30143,0.4,+++,60,Peacock,T,2019,0.637795276,,
128,"Wednesday, Aug 21",DET,L,81-47,1,up 6.5,N,29567,0.39,-,61,Verlander,W,2019,0.6328125,,
129,"Thursday, Aug 22",DET,W,82-47,1,up 6.5,N,27220,0.48,+,62,Cole,TH,2019,0.635658915,,
130,"Friday, Aug 23",LAA,W,83-47,1,up 7.0,N,35201,0.43,++,63,Greinke,F,2019,0.638461538,,
131,"Saturday, Aug 24",LAA,W,84-47,1,up 8.0,N,37862,0.39,+++,64,Miley,SA,2019,0.641221374,,
132,"Sunday, Aug 25",LAA,W,85-47,1,up 9.0,D,38989,0.33,++++,65,Valdez,S,2019,0.643939394,,
133,"Tuesday, Aug 27",TBR,W,86-47,1,up 8.5,N,28454,0.23,+++++,66,Verlander,T,2019,0.646616541,,
134,"Wednesday, Aug 28",TBR,W,87-47,1,up 9.5,N,25539,0.25,++++++,67,Harris,W,2019,0.649253731,,
135,"Thursday, Aug 29",TBR,L,87-48,1,up 8.5,D,33051,0.19,-,68,Devenski,TH,2019,0.644444444,,
141,"Thursday, Sep 5",SEA,W,91-50,1,up 8.5,N,27822,0.23,+,69,James,TH,2019,0.645390071,,
142,"Friday, Sep 6",SEA,W,92-50,1,up 9.5,N,33149,0.21,++,70,Smith,F,2019,0.647887324,,
143,"Saturday, Sep 7",SEA,W,93-50,1,up 9.5,N,41958,0.17,+++,71,Verlander,SA,2019,0.65034965,,
144,"Sunday, Sep 8",SEA,W,94-50,1,up 9.5,D,35569,0.17,++++,72,Cole,S,2019,0.652777778,,
145,"Monday, Sep 9",OAK,W,95-50,1,up10.5,N,38289,0.14,+++++,73,Greinke,M,2019,0.655172414,,
146,"Tuesday, Sep 10",OAK,L,95-51,1,up 9.5,N,32100,0.1,-,74,Miley,T,2019,0.650684932,,
147,"Wednesday, Sep 11",OAK,L,95-52,1,up 8.5,N,32938,0.11,--,75,James,W,2019,0.646258503,,
148,"Thursday, Sep 12",OAK,L,95-53,1,up 7.5,N,34024,0.18,---,76,Verlander,TH,2019,0.641891892,,
152,"Tuesday, Sep 17",TEX,W,99-53,1,up 8.0,N,39650,0.12,++++,77,Verlander,T,2019,0.651315789,,
153,"Wednesday, Sep 18",TEX,W,100-53,1,up 8.0,N,38417,0.18,+++++,78,Cole,W,2019,0.653594771,,
154,"Friday, Sep 20",LAA,W,101-53,1,up 8.0,N,40106,0.08,++++++,79,Greinke,F,2019,0.655844156,,
155,"Saturday, Sep 21",LAA,L,101-54,1,up 7.0,N,43264,0.07,-,80,Miley,SA,2019,0.651612903,,
156,"Sunday, Sep 22",LAA,W,102-54,1,up 8.0,D,43169,0.15,+,81,Verlander,S,2019,0.653846154,,
10,"Monday, Apr 18",LAA,W,6-4,1,up 0.5,N,42646,1.09,+,1,Garcia,M,2022,0.6,,
11,"Tuesday, Apr 19",LAA,L,6-5,3,0.5,N,30212,1.15,-,2,Valdez,T,2022,0.545454545,,
12,"Wednesday, Apr 20",LAA,L,6-6,4,1.5,N,29049,1.05,--,3,Odorizzi,W,2022,0.5,,
13,"Friday, Apr 22",TOR,L,6-7,4,1.5,N,36757,1.01,---,4,Neris,F,2022,0.461538462,,
14,"Saturday, Apr 23",TOR,L,6-8,4,2.5,D,36075,0.96,----,5,Taylor,SA,2022,0.428571429,,
15,"Sunday, Apr 24",TOR,W,7-8,4,2.5,D,39534,0.93,+,6,Taylor,S,2022,0.466666667,,
23,"Monday, May 2",SEA,W,11-12,2,2.5,N,27321,1.09,+,7,Odorizzi,M,2022,0.47826087,,
24,"Tuesday, May 3",SEA,W,13-11,2,1.5,N,23796,1.14,++,8,Javier,T,2022,0.541666667,,
25,"Wednesday, May 4",SEA,W,14-11,2,1.5,D,24110,1.19,+++,9,Verlander,W,2022,0.56,,
26,"Thursday, May 5",DET,W,15-11,2,1.5,N,24116,1.11,++++,10,Pressly,TH,2022,0.576923077,,
27,"Friday, May 6",DET,W,16-11,2,1.5,N,38020,1.12,+++++,11,Garcia,F,2022,0.592592593,,
28,"Saturday, May 7",DET,W,17-11,2,0.5,D,34109,1.13,++++++,12,Abreu,SA,2022,0.607142857,,
29,"Sunday, May 8",DET,W,18-11,2,0.5,D,36934,1.15,+++++++,13,Odorizzi,S,2022,0.620689655,,
39,"Thursday, May 19",TEX,W,25-14,1,up 1.5,N,34593,1.34,+,14,Valdez,TH,2022,0.641025641,,
40,"Friday, May 20",TEX,L,25-15,1,up 1.5,N,35294,1.27,-,15,Javier,F,2022,0.625,,
41,"Saturday, May 21",TEX,W,26-15,1,up 1.5,N,37187,1.3,+,16,Verlander,SA,2022,0.634146341,,
42,"Sunday, May 22",TEX,W,27-15,1,up 1.5,D,38745,1.28,++,17,Urquidy,S,2022,0.642857143,,
43,"Monday, May 23",CLE,L,27-16,1,up 1.0,N,28284,1.23,-,18,Garcia,M,2022,0.627906977,,
44,"Tuesday, May 24",CLE,W,28-16,1,up 1.0,N,26621,1.28,+,19,Valdez,T,2022,0.636363636,,
45,"Wednesday, May 25",CLE,W,29-16,1,up 2.0,N,25412,1.23,++,20,Javier,W,2022,0.644444444,,
55,"Monday, Jun 6",SEA,L,35-20,1,up 8.5,N,27521,1.13,-,21,Javier,M,2022,0.636363636,,
56,"Tuesday, Jun 7",SEA,W,36-20,1,up 9.5,N,30583,1.23,+,22,Verlander,T,2022,0.642857143,,
57,"Wednesday, Jun 8",SEA,L,36-21,1,up 9.5,N,23752,1.14,-,23,Urquidy,W,2022,0.631578947,,
58,"Friday, Jun 10",MIA,L,36-22,1,up 9.0,N,34163,1.09,--,24,Garcia,F,2022,0.620689655,,
59,"Saturday, Jun 11",MIA,L,36-23,1,up 8.0,D,31379,1.13,---,25,Valdez,SA,2022,0.610169492,,
60,"Sunday, Jun 12",MIA,W,37-23,1,up 8.5,D,29341,1.17,+,26,Verlander,S,2022,0.616666667,,
64,"Friday, Jun 17",CHW,W,40-24,1,up 9.0,N,35467,1.17,+++,27,Valdez,F,2022,0.625,,
65,"Saturday, Jun 18",CHW,L,40-25,1,up 9.0,D,36747,1.14,-,28,Verlander,SA,2022,0.615384615,,
66,"Sunday, Jun 19",CHW,W,41-25,1,up 9.5,N,37709,1.17,+,29,Javier,S,2022,0.621212121,,
67,"Tuesday, Jun 21",NYM,W,42-25,1,up10.0,N,35140,1.05,++,30,Urquidy,T,2022,0.626865672,,
68,"Wednesday, Jun 22",NYM,W,43-25,1,up10.0,D,35415,1,+++,31,Garcia,W,2022,0.632352941,,
75,"Thursday, Jun 30",NYY,W,48-27,1,up11.5,N,40674,0.88,+++,32,Garcia,TH,2022,0.64,,
76,"Friday, Jul 1",LAA,W,49-27,1,up12.5,N,36420,0.84,++++,33,Javier,F,2022,0.644736842,,
77,"Saturday, Jul 2",LAA,W,50-27,1,up12.5,D,35332,0.73,+++++,34,Urquidy,SA,2022,0.649350649,,
78,"Sunday, Jul 3",LAA,W,51-27,1,up13.5,D,36048,0.68,++++++,35,Pressly,S,2022,0.653846154,,
79,"Monday, Jul 4",KCR,W,52-27,1,up13.5,D,33936,0.58,+++++++,36,Stanek,M,2022,0.658227848,,
80,"Tuesday, Jul 5",KCR,W,53-27,1,up13.5,N,28762,0.54,++++++++,37,Garcia,T,2022,0.6625,,
81,"Wednesday, Jul 6",KCR,L,53-28,1,up13.0,N,26534,0.48,-,38,Javier,W,2022,0.654320988,,
82,"Thursday, Jul 7",KCR,W,54-28,1,up13.0,D,36067,0.5,+,39,Verlander,TH,2022,0.658536585,,
89,"Friday, Jul 15",OAK,L,58-31,1,up10.0,N,39434,0.37,-,40,Urquidy,F,2022,0.651685393,,
90,"Saturday, Jul 16",OAK,W,59-31,1,up10.0,D,39125,0.42,+,41,Verlander,SA,2022,0.655555556,,
91,"Sunday, Jul 17",OAK,L,59-32,1,up 9.0,D,34534,0.43,-,42,Montero,S,2022,0.648351648,,
92,"Thursday, Jul 21 (1)",NYY,W,60-32,1,up10.0,D,36225,0.51,+,43,Neris,TH,2022,0.652173913,,
93,"Thursday, Jul 21 (2)",NYY,W,61-32,1,up10.0,N,39342,0.47,++,44,Garcia,TH,2022,0.655913978,,
100,"Thursday, Jul 28",SEA,W,65-35,1,up11.0,N,29799,0.45,+,45,Montero,TH,2022,0.65,,
101,"Friday, Jul 29",SEA,W,66-35,1,up12.0,N,38497,0.32,++,46,Verlander,F,2022,0.653465347,,
102,"Saturday, Jul 30",SEA,L,66-36,1,up11.0,N,37385,0.25,-,47,Pressly,SA,2022,0.647058824,,
103,"Sunday, Jul 31",SEA,W,67-36,1,up12.0,D,35773,0.31,+,48,Neris,S,2022,0.650485437,,
104,"Monday, Aug 1",BOS,L,67-37,1,up12.0,N,35185,0.2,-,49,Garcia,M,2022,0.644230769,,
105,"Tuesday, Aug 2",BOS,L,67-38,1,up11.0,N,31229,0.24,--,50,Javier,T,2022,0.638095238,,
106,"Wednesday, Aug 3",BOS,W,68-38,1,up11.0,D,32295,0.28,+,51,Urquidy,W,2022,0.641509434,,
111,"Tuesday, Aug 9",TEX,W,71-40,1,up11.5,N,30629,0.19,+,52,Urquidy,T,2022,0.63963964,,
112,"Wednesday, Aug 10",TEX,L,71-41,1,up10.5,N,26670,0.17,-,53,Maton,W,2022,0.633928571,,
113,"Thursday, Aug 11",TEX,W,72-41,1,up11.0,D,30872,0.2,+,54,Valdez,TH,2022,0.637168142,,
114,"Friday, Aug 12",OAK,W,73-41,1,up11.0,N,31230,0.16,++,55,Garcia,F,2022,0.640350877,,
115,"Saturday, Aug 13",OAK,W,74-41,1,up12.0,N,34078,0.15,+++,56,McCullers,SA,2022,0.643478261,,
116,"Sunday, Aug 14",OAK,W,75-41,1,up13.0,D,38906,0.11,++++,57,Javier,S,2022,0.646551724,,
124,"Tuesday, Aug 23",MIN,W,79-45,1,up11.5,N,32639,0.11,++,58,Verlander,T,2022,0.637096774,,
125,"Wednesday, Aug 24",MIN,W,80-45,1,up12.5,N,27070,0.11,+++,59,Valdez,W,2022,0.64,,
126,"Thursday, Aug 25",MIN,W,81-45,1,up12.5,N,33320,0.08,++++,60,Garcia,TH,2022,0.642857143,,
127,"Friday, Aug 26",BAL,L,81-46,1,up11.5,N,31035,0.09,-,61,Javier,F,2022,0.637795276,,
128,"Saturday, Aug 27",BAL,L,81-47,1,up11.5,N,34526,0.09,--,62,Urquidy,SA,2022,0.6328125,,
129,"Sunday, Aug 28",BAL,W,82-47,1,up11.5,D,31559,0.07,+,63,Stanek,S,2022,0.635658915,,
135,"Monday, Sep 5",TEX,W,87-48,1,up11.0,N,35162,0.08,++,64,Brown,M,2022,0.644444444,,
136,"Tuesday, Sep 6",TEX,L,87-49,1,up10.0,N,26803,0.07,-,65,Valdez,T,2022,0.639705882,,
137,"Wednesday, Sep 7",TEX,W,88-49,1,up11.0,N,26239,0.07,+,66,Neris,W,2022,0.642335766,,
138,"Friday, Sep 9",LAA,W,89-49,1,up12.0,N,33509,0.07,++,67,McCullers,F,2022,0.644927536,,
139,"Saturday, Sep 10",LAA,L,89-50,1,up11.0,N,38533,0.06,-,68,Urquidy,SA,2022,0.64028777,,
140,"Sunday, Sep 11",LAA,W,90-50,1,up11.0,D,32901,0.06,+,69,Garcia,S,2022,0.642857143,,
144,"Thursday, Sep 15",OAK,W,94-50,1,up13.0,N,26543,0.03,+++++,70,Martinez,TH,2022,0.652777778,,
145,"Friday, Sep 16",OAK,W,95-50,1,up14.0,N,33850,0.03,++++++,71,Verlander,F,2022,0.655172414,,
146,"Saturday, Sep 17",OAK,L,95-51,1,up14.0,N,33419,0.02,-,72,Urquidy,SA,2022,0.650684932,,
147,"Sunday, Sep 18",OAK,W,96-51,1,up15.0,D,30375,0.03,+,73,Valdez,S,2022,0.653061224,,
155,"Tuesday, Sep 27",ARI,W,102-53,1,up18.0,N,37480,0.01,+++,74,Garcia,T,2022,0.658064516,,
156,"Wednesday, Sep 28",ARI,L,102-54,1,up17.0,N,35670,0.01,-,75,Smith,W,2022,0.653846154,,
157,"Friday, Sep 30",TBR,L,102-55,1,up15.5,N,37349,0,--,76,Valdez,F,2022,0.649681529,,
158,"Saturday, Oct 1",TBR,W,103-55,1,up15.5,N,37406,0,+,77,Javier,SA,2022,0.651898734,,
159,"Sunday, Oct 2",TBR,W,104-55,1,up16.5,D,35809,0,++,78,Garcia,S,2022,0.65408805,,
160,"Monday, Oct 3",PHI,L,104-56,1,up16.5,N,32324,0,-,79,McCullers,M,2022,0.65,,
161,"Tuesday, Oct 4",PHI,W,105-56,1,up16.0,N,32032,0,+,80,Verlander,T,2022,0.652173913,,
162,"Wednesday, Oct 5",PHI,W,106-56,1,up16.0,D,32432,0,++,81,Valdez,W,2022,0.654320988,,
